Keyword,Rank,Name,OriginalPrice,DiscountPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,,4종1세트 여성 쁘띠 실크 스카프 70x70cm,"23,900원","14,800원","14,800원",판매자배송,도착 보장,N,,740원,,https://www.coupang.com/vp/products/8373602077?itemId=24197091009&vendorItemId=91214724437&sourceType=srp_product_ads&clickEventId=2b010960-bf81-11f0-8647-a6739839aed5&korePlacement=15&koreSubPlacement=1&clickEventId=2b010960-bf81-11f0-8647-a6739839aed5&korePlacement=15&koreSubPlacement=1,
스카프,1,온더레드 여성 패션 사각스카프 2종 세트 스카프링 포함,"25,000원","8,700원","8,700원",판매자배송,도착 보장,N,,435원,,https://www.coupang.com/vp/products/8095654161?itemId=22884735637&vendorItemId=86902551669&q=스카프&searchId=f833f3f42680368&sourceType=search&itemsCount=36&searchRank=1&rank=1,
스카프,2,아펙토 여성용 봄가을 데일리 프리미 스카프 2종 세트,"6,900원","3,990원","3,990원",로켓배송,도착 보장,Y,,200원,,https://www.coupang.com/vp/products/8844406635?itemId=25779070020&vendorItemId=92767020542&q=스카프&searchId=f833f3f42680368&sourceType=search&itemsCount=36&searchRank=2&rank=2,
스카프,3,우아한클릭 여성 1+1 쁘띠 봄 미니 자석 스카프,"19,800원","7,800원","7,800원",,도착 예정,Y,,390원,,https://www.coupang.com/vp/products/8591777966?itemId=24911780988&vendorItemId=91795327934&q=스카프&searchId=f833f3f42680368&sourceType=search&itemsCount=36&searchRank=3&rank=3,
스카프,,사켓 여성 고급 야외 선물용 스카프,"25,000원","9,200원","9,200원",판매자배송,도착 보장,N,,460원,,https://www.coupang.com/vp/products/8922073173?itemId=26073521124&vendorItemId=93054552505&sourceType=srp_product_ads&clickEventId=2b010960-bf81-11f0-856c-63a53aa6a70a&korePlacement=15&koreSubPlacement=5&clickEventId=2b010960-bf81-11f0-856c-63a53aa6a70a&korePlacement=15&koreSubPlacement=5,
스카프,,베네피센트 사각 고급 스카프 2종 세트,"24,000원","9,800원","9,800원",판매자배송,도착 보장,N,,490원,,https://www.coupang.com/vp/products/7827734880?itemId=21281218848&vendorItemId=88341319300&sourceType=srp_product_ads&clickEventId=2b010960-bf81-11f0-8175-ac845ae9695a&korePlacement=15&koreSubPlacement=6&clickEventId=2b010960-bf81-11f0-8175-ac845ae9695a&korePlacement=15&koreSubPlacement=6,
스카프,4,JANE 여성 쁘띠 사각 스카프 2종 세트,"22,000원","9,800원","9,800원",,도착 예정,Y,,490원,,https://www.coupang.com/vp/products/7830132859?itemId=21294104213&vendorItemId=93846024035&q=스카프&searchId=f833f3f42680368&sourceType=search&itemsCount=36&searchRank=6&rank=6,
스카프,5,바바 프리미엄 자석버클 쁘띠 사각 스카프,"19,900원","6,900원","6,900원",판매자배송,도착 보장,N,,345원,,https://www.coupang.com/vp/products/8539533282?itemId=24722952747&vendorItemId=91733949629&pickType=COU_PICK&q=스카프&searchId=f833f3f42680368&sourceType=search&itemsCount=36&searchRank=7&rank=7,
스카프,,MU랑 여성 데일리 럭셔리 쁘띠 스카프,,"16,900원","16,900원",판매자배송,도착 보장,N,,845원,,https://www.coupang.com/vp/products/8061593066?itemId=22650362465&vendorItemId=90025635493&sourceType=srp_product_ads&clickEventId=2b013070-bf81-11f0-ae7e-28c2fc3d9b52&korePlacement=15&koreSubPlacement=9&clickEventId=2b013070-bf81-11f0-ae7e-28c2fc3d9b52&korePlacement=15&koreSubPlacement=9,
스카프,6,메리앤유 소프트 코튼 소재 칼라풀 무지 롱 스카프 국산,"25,000원","13,800원","13,800원",판매자배송,도착 보장,N,,690원,,https://www.coupang.com/vp/products/8998212185?itemId=26366507688&vendorItemId=91601565788&q=스카프&searchId=f833f3f42680368&sourceType=search&itemsCount=36&searchRank=9&rank=9,
