브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
,"장보남 레몬 5kg 45-60과내외, 5kg, 1박스","23,860원",,(주)하진,,,"보관방법: 냉장보관, 총 중량: 5kg, 과일 종류: 생과, 개당 중량: 5kg, 총 수량: 1개, 쿠팡상품번호: 8295692145 - 23926995038",https://www.coupang.com/vp/products/8295692145?itemId=23926995038&vendorItemId=90949167885&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=6&rank=6
,"상큼한 레몬 생레몬, 레몬 5개, 1개","6,900원",,농업회사법인(주)이웃사촌판매자 상품 보러가기,,,"총 수량: 5, 쿠팡상품번호: 9071894376 - 26643004540",https://www.coupang.com/vp/products/9071894376?itemId=26643004540&vendorItemId=93615680674&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=15&rank=15
,"항공직송 썬키스트 팬시 레몬 최상급 20과 40과, 팬시레몬 대과 (1..., 1개","10,400원",,비아이큐브,,,"개당 중량: 120g, 보관방법: 냉장보관, 종류: 생과, 가공방식: 생과, 쿠팡상품번호: 7606095905 - 20132620766",https://www.coupang.com/vp/products/7606095905?itemId=20132620766&vendorItemId=91403109334&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=18&rank=18
,"지구해 국산 제주 유기농 레몬 GAP 제주레몬 국산제주레몬, 제주레몬1.5kg, 1개","21,900원",,지구해,,,"개당 중량: 1.5kg, 과일 종류: 생과, 종류: 생과, 비건 여부: 비건, 총 수량: 1개, 쿠팡상품번호: 9060949579 - 26510698403",https://www.coupang.com/vp/products/9060949579?itemId=26510698403&vendorItemId=91141790180&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=17&rank=17
,레몬 썬키스트 팬시레몬 정품 최상급 칠레산 미국산 품질우수 펜시레몬,"22,900원",,,,,"개당 중량: 5kg, 쿠팡상품번호: 8773688212 - 25522483294",https://www.coupang.com/vp/products/8773688212?itemId=25522483294&vendorItemId=93489155739&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=19&rank=19
,다정헌 유기농 레몬즙 NFC 착즙 유기농 레몬 에이드 레몬수 선물세트,"17,900원",,농업회사법인(주)와이케이컴퍼니,,,"소비기한(또는 유통기한): 2027-08-07 이거나 그 이후인 상품, 가정용/업소용: 가정용, 쿠팡상품번호: 9021202830 - 26450763578",https://www.coupang.com/vp/products/9021202830?itemId=26450763578&vendorItemId=93426222861&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=22&rank=22
,"팜플러스 정품 팬시레몬, 개당120g내외, 40개","18,900원",,주식회사 팜플러스판매자 상품 보러가기,,,"개당 중량: 120g, 쿠팡상품번호: 8243649579 - 23688905694",https://www.coupang.com/vp/products/8243649579?itemId=23688905694&vendorItemId=70691575825&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=14&rank=14
,"자연미가 후레쉬 레몬, 레몬 17kg 16..., 1개","55,000원",,농업회사법인우리존(주),,,쿠팡상품번호: 8982297839 - 26299295034,https://www.coupang.com/vp/products/8982297839?itemId=26299295034&vendorItemId=3057428585&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-8b8b-7905e2bd8b35&korePlacement=15&koreSubPlacement=21&clickEventId=254cd050-b6f1-11f0-8b8b-7905e2bd8b35&korePlacement=15&koreSubPlacement=21
,"곰곰 칠레산 레몬, 3kg, 1봉","13,980원",,,,,"제조년월일: 2025-10-26, 개당 중량: 3kg, 총 중량: 3kg, 식단관리 식품: Y, 레몬 분류: 레몬, 쿠팡상품번호: 5891285014 - 15489491141",https://www.coupang.com/vp/products/5891285014?itemId=15489491141&vendorItemId=82708843391&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=23&rank=23
,"[단2주오픈특가]자연그대로 껍질째 유기농 제주 레몬, 2kg, 1박스","22,500원",,고원유통,,,"개당 중량: 2kg, 과일 종류: 생과, 쿠팡상품번호: 9143400089 - 26915885582",https://www.coupang.com/vp/products/9143400089?itemId=26915885582&vendorItemId=93885233191&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-951b-bdb94f995cc7&korePlacement=15&koreSubPlacement=22&clickEventId=254cd050-b6f1-11f0-951b-bdb94f995cc7&korePlacement=15&koreSubPlacement=22
