Keyword,Name,Price,Link,Img_url
스카프,쇼퍼블릭 여성 플리츠 주름 롱 머플러 목도리,"21,500원",https://www.coupang.com/vp/products/9075708419?itemId=26658393617&vendorItemId=93826369459&sourceType=srp_product_ads&clickEventId=0e22c3f0-bf00-11f0-8f67-175fe35bb89f&korePlacement=15&koreSubPlacement=21&clickEventId=0e22c3f0-bf00-11f0-8f67-175fe35bb89f&korePlacement=15&koreSubPlacement=21,
스카프,하루바나 여성 순면 손수건 스카프 58*58cm 선물 답례품,"11,900원",https://www.coupang.com/vp/products/7944846830?itemId=21900915901&vendorItemId=88948944016&sourceType=srp_product_ads&clickEventId=0e22c3f0-bf00-11f0-9802-424e31299afa&korePlacement=15&koreSubPlacement=22&clickEventId=0e22c3f0-bf00-11f0-9802-424e31299afa&korePlacement=15&koreSubPlacement=22,
스카프,디아픽 쁘띠 타이 스카프 양면 3세트,"22,000원",https://www.coupang.com/vp/products/9093830009?itemId=26726649579&vendorItemId=93863496419&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=22&rank=22,
스카프,1+1 에이엔이엠 고급 실크 여성 패션 사각스카프 4컬러,"6,900원",https://www.coupang.com/vp/products/8645821599?itemId=25093949160&vendorItemId=92097620741&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=23&rank=23,
스카프,2종세트 바바 프리미엄 자석버클 쁘띠 사각 스카프,"29,900원",https://www.coupang.com/vp/products/8540920480?itemId=24727854281&vendorItemId=91736880972&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=24&rank=24,
스카프,살림코드 쁘띠테일 진주자석 실크 스카프 1+1 미니스카프,"15,900원",https://www.coupang.com/vp/products/9128956218?itemId=26859323419&vendorItemId=93829022503&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=25&rank=25,
스카프,[4종세트] 허블리 여성 부드러운 자석버클 사각 쁘띠 스카프 머플러,"32,000원",https://www.coupang.com/vp/products/9150851620?itemId=26945480387&vendorItemId=93914888617&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=26&rank=26,
스카프,바비수 쁘띠 프런트 홀스 스카프,"13,900원",https://www.coupang.com/vp/products/9071932299?itemId=26643150784&vendorItemId=93615823717&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=27&rank=27,
스카프,로튼 국내제작 삼각 무지 스카프 머플러 면 심플 우아함 봄 스카프 여성 남성,"13,700원",https://www.coupang.com/vp/products/8584811282?itemId=24886721972&vendorItemId=91893521261&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=28&rank=28,
스카프,허블리 여성 부드러운 사각 스카프 머플러 4종세트,"30,000원",https://www.coupang.com/vp/products/9066483209?itemId=26624956505&vendorItemId=93603392173&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=29&rank=29,
스카프,엘르온 여성 고급 패션 사각스카프 2종세트 스카프링 포함,"25,000원",https://www.coupang.com/vp/products/8283240035?itemId=23882296111&vendorItemId=90905155235&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=30&rank=30,
스카프,맙소샵 그레이스 플라워 도톰한 빅사이즈 숄 스카프 BRP1194,"31,460원",https://www.coupang.com/vp/products/9018530107?itemId=26440458928&vendorItemId=93416088004&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=31&rank=31,
스카프,바비수 쁘띠 메종도트 스카프,"24,800원",https://www.coupang.com/vp/products/318863376?itemId=1018622558&vendorItemId=5456493938&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=32&rank=32,
스카프,온더레드 러블리 레이어드 롱스카프,"32,000원",https://www.coupang.com/vp/products/8437333354?itemId=24403111462&vendorItemId=91418006264&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=33&rank=33,
스카프,칠희 고급 편한 스카프 1+1 여성 착용하기 자석버클넥 워머 패션 머플러 2개 W68,"31,600원",https://www.coupang.com/vp/products/9118460198?itemId=26820518665&vendorItemId=93790752947&q=스카프&searchId=2c0d698f1248102&sourceType=search&itemsCount=36&searchRank=34&rank=34,
스카프,쇼퍼블릭 여성 플리츠 주름 롱 머플러 목도리,"21,500원",https://www.coupang.com/vp/products/9075708419?itemId=26658393612&vendorItemId=93826369460&sourceType=srp_product_ads&clickEventId=0e22c3f0-bf00-11f0-804d-8c1c7d72f900&korePlacement=15&koreSubPlacement=37&clickEventId=0e22c3f0-bf00-11f0-804d-8c1c7d72f900&korePlacement=15&koreSubPlacement=37,
키링,"Sparxio 마메치 굿즈 인형 키링 다마고치 열쇠고리, 4개","18,500원",https://www.coupang.com/vp/products/9084510512?itemId=26691088541&vendorItemId=93663094478&sourceType=srp_product_ads&clickEventId=197be2e0-bf00-11f0-ac6b-8170b941da67&korePlacement=15&koreSubPlacement=1&clickEventId=197be2e0-bf00-11f0-ac6b-8170b941da67&korePlacement=15&koreSubPlacement=1,
키링,"버블리데이 귀여운 니트 곰돌이 키링 2종 세트, 화이트 + 블랙, 1세트","5,630원",https://www.coupang.com/vp/products/8531959116?itemId=23125875018&vendorItemId=90158941490&pickType=COU_PICK&q=키링&searchId=0175021c828482&sourceType=search&itemsCount=36&searchRank=1&rank=1,
키링,"다은랜드 귀여운 곰돌이 키링 베어 열쇠고리 차키링 스트랩형 키홀더, 그린, 1개","16,800원",https://www.coupang.com/vp/products/9122187053?itemId=26833472203&vendorItemId=86546370201&q=키링&searchId=0175021c828482&sourceType=search&itemsCount=36&searchRank=2&rank=2,
키링,버블리데이 소풍가는 갸우뚱 오리 키링,"3,240원",https://www.coupang.com/vp/products/6869190251?itemId=16427144336&vendorItemId=90131748924&q=키링&searchId=0175021c828482&sourceType=search&itemsCount=36&searchRank=3&rank=3,
키링,[VANWALK 반워크] 머쉬룸 버섯 키링,"22,500원",https://www.coupang.com/vp/products/7985003165?itemId=22172204662&vendorItemId=89218578566&sourceType=srp_product_ads&clickEventId=197c09f0-bf00-11f0-9447-dd389582c2b1&korePlacement=15&koreSubPlacement=5&clickEventId=197c09f0-bf00-11f0-9447-dd389582c2b1&korePlacement=15&koreSubPlacement=5,
키링,"공식정품 월레스와 그로밋 미니 키링 인형 - 12cm, 1개","15,000원",https://www.coupang.com/vp/products/8083045805?itemId=22799782546&vendorItemId=89834708873&sourceType=srp_product_ads&clickEventId=197c09f0-bf00-11f0-bd78-d93dbd41cf2b&korePlacement=15&koreSubPlacement=6&clickEventId=197c09f0-bf00-11f0-bd78-d93dbd41cf2b&korePlacement=15&koreSubPlacement=6,
키링,"프리미엄 자동차 키링 키홀더 스트랩 가방 키링, 블랙, 1개","17,500원",https://www.coupang.com/vp/products/8821314389?itemId=25707943798&vendorItemId=92696902425&q=키링&searchId=0175021c828482&sourceType=search&itemsCount=36&searchRank=6&rank=6,
키링,"랜덤 뽑기 순덕이 아크릴 키 링 35개(박스) 다이어리 핸드폰 가방 열쇠 고리 단체 선물, 1박스, 상세페이지 참조","35,000원",https://www.coupang.com/vp/products/8032831538?itemId=22685499512&vendorItemId=89509209721&q=키링&searchId=0175021c828482&sourceType=search&itemsCount=36&searchRank=7&rank=7,
키링,"이카이즈 시바견 12띠키링 피규어 자동차 키홀더 가방고리 열쇠고리, 개띠, 1개","10,030원",https://www.coupang.com/vp/products/8751431120?itemId=25417740297&vendorItemId=91476263295&sourceType=srp_product_ads&clickEventId=197c09f0-bf00-11f0-bd36-328621a16f9e&korePlacement=15&koreSubPlacement=9&clickEventId=197c09f0-bf00-11f0-bd36-328621a16f9e&korePlacement=15&koreSubPlacement=9,
키링,"1+1 헬스와미 고급 가죽 차량용 키링 홀더 심플 차키링 열쇠고리, 연브라운, 1세트","5,900원",https://www.coupang.com/vp/products/9068149675?itemId=26679363211&vendorItemId=94044740208&q=키링&searchId=0175021c828482&sourceType=search&itemsCount=36&searchRank=9&rank=9,
