Keyword,Rank,Name,OriginalPrice,DiscountPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,,4종1세트 여성 쁘띠 실크 스카프 70x70cm,"23,900원","14,800원","14,800원",,도착 보장,N,,740원,,https://www.coupang.com/vp/products/8373602077?itemId=24197091009&vendorItemId=91214724437&sourceType=srp_product_ads&clickEventId=5f528cd0-bf80-11f0-aa40-9f0841426978&korePlacement=15&koreSubPlacement=1&clickEventId=5f528cd0-bf80-11f0-aa40-9f0841426978&korePlacement=15&koreSubPlacement=1,
스카프,1,온더레드 여성 패션 사각스카프 2종 세트 스카프링 포함,"25,000원","8,700원","8,700원",,도착 보장,N,,435원,,https://www.coupang.com/vp/products/8095654161?itemId=22884735637&vendorItemId=86902551669&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=1&rank=1,
스카프,2,아펙토 여성용 봄가을 데일리 프리미 스카프 2종 세트,"6,900원","3,990원","3,990원",,도착 보장,Y,,200원,,https://www.coupang.com/vp/products/8844406635?itemId=25779070020&vendorItemId=92767020542&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=2&rank=2,
스카프,3,JANE 여성 쁘띠 사각 스카프 2종 세트,"22,000원","9,800원","9,800원",,도착 예정,Y,,490원,,https://www.coupang.com/vp/products/7830132859?itemId=21294104213&vendorItemId=93846024035&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=3&rank=3,
스카프,,베네피센트 사각 고급 스카프 2종 세트,"24,000원","9,800원","9,800원",,도착 보장,N,,490원,,https://www.coupang.com/vp/products/7827734880?itemId=21281218848&vendorItemId=88341319300&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-9bfa-fc2c8da89870&korePlacement=15&koreSubPlacement=5&clickEventId=5f52b3e0-bf80-11f0-9bfa-fc2c8da89870&korePlacement=15&koreSubPlacement=5,
스카프,,허블리 여성 면 손수건 스카프 쁘띠 머플러,"15,000원","6,900원","6,900원",,도착 보장,N,,345원,,https://www.coupang.com/vp/products/9063210921?itemId=26610908427&vendorItemId=93584177113&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-820f-8f3709eab924&korePlacement=15&koreSubPlacement=6&clickEventId=5f52b3e0-bf80-11f0-820f-8f3709eab924&korePlacement=15&koreSubPlacement=6,
스카프,4,바바 프리미엄 자석버클 쁘띠 사각 스카프,"19,900원","6,900원","6,900원",,도착 보장,N,,345원,,https://www.coupang.com/vp/products/8539533282?itemId=24722952747&vendorItemId=91733949629&pickType=COU_PICK&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=6&rank=6,
스카프,5,국내산 부드러운 롱 스카프 아사 면,"16,800원","10,200원","10,200원",,도착 보장,N,,510원,,https://www.coupang.com/vp/products/8725779682?itemId=26820089265&vendorItemId=93790279120&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=7&rank=7,
스카프,,모나코 여성 실크 느낌 쁘띠 데일리 70x70 정사각 스카프 머플러 4종 세트 (4개 1세트),"30,000원","16,500원","16,500원",,도착 보장,Y,,825원,,https://www.coupang.com/vp/products/8617055848?itemId=24997668701&vendorItemId=91939754485&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-89b1-3a19b6e71c68&korePlacement=15&koreSubPlacement=9&clickEventId=5f52b3e0-bf80-11f0-89b1-3a19b6e71c68&korePlacement=15&koreSubPlacement=9,
스카프,6,70X70 여성 봄 가을 쁘띠 스카프 3세트,"19,800원","9,680원","9,680원",,도착 예정,Y,,484원,품절임박,https://www.coupang.com/vp/products/8022208983?itemId=22417422148&vendorItemId=89462189470&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=9&rank=9,
스카프,,"[TV홈쇼핑정품 인포벨]앙드레김 실크핏 전주링 원터치 스카프 자석 마그네틱 가을 부모님 파리 스카피 머플러, 오션 화이트+플라워 그린+홀스 브라운, 1세트",,"29,900원","29,900원",,도착 예정,Y,,"1,495원",,https://www.coupang.com/vp/products/9136232463?itemId=26888956257&vendorItemId=93838551187&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-8564-d51e7d7bd13f&korePlacement=15&koreSubPlacement=11&clickEventId=5f52b3e0-bf80-11f0-8564-d51e7d7bd13f&korePlacement=15&koreSubPlacement=11,
스카프,,[국내산 순면 100%] 쁘담 스카프 손수건 쁘띠 등산 두건 5개세트,"32,900원","19,860원","19,860원",,도착 보장,Y,,993원,,https://www.coupang.com/vp/products/9115708504?itemId=26810836193&vendorItemId=93781173912&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-8c8d-1f266d07928a&korePlacement=15&koreSubPlacement=12&clickEventId=5f52b3e0-bf80-11f0-8c8d-1f266d07928a&korePlacement=15&koreSubPlacement=12,
스카프,7,우브레 쁘띠 스카프 2종 세트,"29,750원","8,400원","8,400원",,도착 보장,N,,420원,,https://www.coupang.com/vp/products/7959067228?itemId=22001588775&vendorItemId=89049112192&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=12&rank=12,
스카프,8,메리앤유 소프트터치 웨이브 디테일 투톤 배색 스카프 국산,"25,000원","15,800원","15,800원",,도착 보장,N,,790원,,https://www.coupang.com/vp/products/9058052607?itemId=26591396572&vendorItemId=91548924576&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=13&rank=13,
스카프,9,[4종세트] 허블리 여성 부드러운 자석버클 사각 쁘띠 스카프 머플러,"32,000원","12,800원","12,800원",,도착 보장,N,,640원,,https://www.coupang.com/vp/products/9150851620?itemId=26945480387&vendorItemId=93914888617&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=14&rank=14,
스카프,10,마리앙 마름모 스카프 가을스카프 롱스카프 여성스카프 뜨왈 플라워 배색 간절기 스카프,"26,000원","23,800원","23,800원",,도착 보장,Y,,"1,190원",,https://www.coupang.com/vp/products/9103806387?itemId=26764478427&vendorItemId=93810578662&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=15&rank=15,
스카프,16,미디엄템포 부드럽고 네추럴한 사계절 무지 롱 스카프 피그먼트 브리즈 / 국내제작 면 레이온 소재로 부드럽고 피부에 편안 봄 가을 검정 블랙 스카프,,"18,800원","18,800원",,도착 보장,N,,940원,,https://www.coupang.com/vp/products/1272365658?itemId=2277322904&vendorItemId=79539493237&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=16&rank=16,
스카프,17,로튼 국내제작 삼각 무지 스카프 머플러 면 심플 우아함 봄 스카프 여성 남성,"13,700원","8,650원","8,650원",,도착 보장,N,,433원,,https://www.coupang.com/vp/products/8584811282?itemId=24886721972&vendorItemId=91893521261&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=17&rank=17,
스카프,18,1+1 에이엔이엠 고급 실크 여성 패션 사각스카프 4컬러,,"6,900원","6,900원",,도착 예정,Y,,345원,,https://www.coupang.com/vp/products/8645821599?itemId=25093949160&vendorItemId=92097620741&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=18&rank=18,
스카프,19,MGN공식 스카프 가을 여성스카프 쁘띠 5종세트,"20,000원","8,900원","8,900원",,도착 보장,N,,445원,,https://www.coupang.com/vp/products/9055027985?itemId=26579374094&vendorItemId=93552809074&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=19&rank=19,
스카프,,어반유니크 여성 데일리 고급 스카프 4종 세트,"34,000원","16,900원","16,900원",,도착 보장,N,,845원,,https://www.coupang.com/vp/products/8309479717?itemId=23976277945&vendorItemId=90997549371&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-8747-5fafc4d1f594&korePlacement=15&koreSubPlacement=21&clickEventId=5f52b3e0-bf80-11f0-8747-5fafc4d1f594&korePlacement=15&koreSubPlacement=21,
스카프,,쇼퍼블릭 여성 플리츠 주름 롱 머플러 목도리,"21,500원","9,900원","9,900원",,도착 보장,N,,495원,,https://www.coupang.com/vp/products/9075708419?itemId=26658393617&vendorItemId=93826369459&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-baf1-554cafd1754a&korePlacement=15&koreSubPlacement=22&clickEventId=5f52b3e0-bf80-11f0-baf1-554cafd1754a&korePlacement=15&koreSubPlacement=22,
스카프,22,2종세트 바바 프리미엄 자석버클 쁘띠 사각 스카프,"29,900원","8,800원","8,800원",,도착 예정,Y,,440원,,https://www.coupang.com/vp/products/8540920480?itemId=24727854281&vendorItemId=91736880972&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=22&rank=22,
스카프,23,70X70 여성 봄 가을 쁘띠 스카프,"5,980원","2,500원","2,500원",,도착 예정,Y,,108원,,https://www.coupang.com/vp/products/8022154678?itemId=22417264530&vendorItemId=89462031851&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=23&rank=23,
스카프,24,아펙토 우아한 자석 버클 스카프 2종 세트,"7,900원","4,900원","4,900원",,도착 보장,Y,,245원,,https://www.coupang.com/vp/products/8837460296?itemId=25754169332&vendorItemId=92742417349&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=24&rank=24,
스카프,25,온더레드 러블리 레이어드 롱스카프,"32,000원","8,890원","8,890원",,도착 보장,N,,445원,,https://www.coupang.com/vp/products/8437333354?itemId=24403111462&vendorItemId=91418006264&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=25&rank=25,
스카프,26,모델엄마 프렌치무드 고급 아사면 마름모 뾰족스카프 (2colors),"25,900원","13,700원","13,700원",,도착 보장,N,,685원,,https://www.coupang.com/vp/products/9003349109?itemId=26384009530&vendorItemId=93360460623&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=26&rank=26,
스카프,27,엘르온 여성 고급 패션 사각스카프 2종세트 스카프링 포함,"25,000원","9,900원","9,900원",,도착 보장,N,,495원,,https://www.coupang.com/vp/products/8283240035?itemId=23882296111&vendorItemId=90905155235&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=27&rank=27,
스카프,28,소울린느 쁘띠사이즈 실크소재 스카프 (33종류),"19,900원","7,900원","7,900원",,도착 보장,N,,395원,,https://www.coupang.com/vp/products/7970137501?itemId=22070793759&vendorItemId=89118138736&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=28&rank=28,
스카프,29,쿠앤 여성 70cm 스카프 정사각 여성스카프 4종 세트,"40,000원","15,900원","15,900원",,도착 보장,N,,795원,,https://www.coupang.com/vp/products/7871856275?itemId=21506454980&vendorItemId=88579179945&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=29&rank=29,
스카프,30,더뷰렛 소프트 롱스카프 여성 무지 단색 면 코튼 간절기 스카프,"15,000원","11,500원","11,500원",,도착 예정,Y,,575원,,https://www.coupang.com/vp/products/312474379?itemId=987283328&vendorItemId=5410258372&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=30&rank=30,
스카프,31,허블리 여성 부드러운 사각 스카프 머플러 4종세트,"30,000원","12,900원","12,900원",,도착 보장,N,,645원,,https://www.coupang.com/vp/products/9066483209?itemId=26624956505&vendorItemId=93603392173&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=31&rank=31,
스카프,32,센티멘토 마름모 롱 스카프 심플 무지 라인 트리밍 고급스러운 봄 가을 롱 스카프 코디,,"29,800원","29,800원",,도착 보장,Y,,"1,490원",,https://www.coupang.com/vp/products/6357078774?itemId=13402780184&vendorItemId=87639019918&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=32&rank=32,
스카프,33,바비수 쁘띠 메종도트 스카프,"24,800원","12,500원","12,500원",,도착 보장,Y,,625원,,https://www.coupang.com/vp/products/318863376?itemId=1018622558&vendorItemId=5456493938&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=33&rank=33,
스카프,34,살림코드 쁘띠테일 진주자석 실크 스카프 1+1 미니스카프,,"15,890원","15,890원",,,N,,,품절,https://www.coupang.com/vp/products/9128956218?itemId=26859323419&vendorItemId=93829022504&q=스카프&searchId=8d107c0a41936150&sourceType=search&itemsCount=36&searchRank=34&rank=34,
스카프,,쇼퍼블릭 여성 플리츠 주름 롱 머플러 목도리,"21,500원","12,900원","12,900원",,도착 보장,N,,645원,,https://www.coupang.com/vp/products/9075708419?itemId=26658393613&vendorItemId=93826369458&sourceType=srp_product_ads&clickEventId=5f52b3e0-bf80-11f0-9398-3b76f506e305&korePlacement=15&koreSubPlacement=37&clickEventId=5f52b3e0-bf80-11f0-9398-3b76f506e305&korePlacement=15&koreSubPlacement=37,
키링,,"자동차키링 번호판 열쇠고리 스마트 키홀더 차량번호키링제작, 신형, 1개","8,900원","5,900원","5,900원",,도착 예정,Y,,295원,,https://www.coupang.com/vp/products/8957014008?itemId=26207479405&vendorItemId=92019375236&sourceType=srp_product_ads&clickEventId=686f2940-bf80-11f0-9f6b-24067abf72b8&korePlacement=15&koreSubPlacement=1&clickEventId=686f2940-bf80-11f0-9f6b-24067abf72b8&korePlacement=15&koreSubPlacement=1,
키링,1,"다은랜드 귀여운 곰돌이 키링 베어 열쇠고리 차키링 스트랩형 키홀더, 그린, 1개","16,800원","8,740원","8,740원",,도착 보장,N,,437원,,https://www.coupang.com/vp/products/9122187053?itemId=26833472203&vendorItemId=86546370201&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=1&rank=1,
키링,2,버블리데이 소풍가는 갸우뚱 오리 키링,,"3,240원","3,240원",,도착 보장,Y,,162원,,https://www.coupang.com/vp/products/6869190251?itemId=16427144336&vendorItemId=90131748924&pickType=COU_PICK&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=2&rank=2,
키링,3,"다다랜드 깜냥 고양이 인형 키링, 9cm, 블랙, 1개",,"2,500원","2,500원",,도착 보장,Y,,125원,,https://www.coupang.com/vp/products/8640180089?itemId=25073328454&vendorItemId=92077358567&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=3&rank=3,
키링,,"제이엠제이 행운을 부르는 키링 열쇠고리, 블랙&블랙, 1개","27,900원","12,900원","12,900원",,도착 보장,N,,645원,품절임박,https://www.coupang.com/vp/products/8501314431?itemId=24609416135&vendorItemId=91620849840&sourceType=srp_product_ads&clickEventId=686f2940-bf80-11f0-8ed6-737f0e8d471d&korePlacement=15&koreSubPlacement=5&clickEventId=686f2940-bf80-11f0-8ed6-737f0e8d471d&korePlacement=15&koreSubPlacement=5,
키링,,"1+1 스마트키 가죽 케이스 세트 자동차 차 키 홀더 레더 지갑 스마트 차키 자동차키 키홀더 키케이스 링 열쇠 고리 키링 차키링 키지갑, A세트, 1세트, R99830A","16,100원","9,870원","9,870원",,도착 보장,N,,494원,,https://www.coupang.com/vp/products/7944873529?itemId=21901030694&vendorItemId=88949057870&sourceType=srp_product_ads&clickEventId=686f2940-bf80-11f0-bf23-36b426ef57eb&korePlacement=15&koreSubPlacement=6&clickEventId=686f2940-bf80-11f0-bf23-36b426ef57eb&korePlacement=15&koreSubPlacement=6,
키링,4,"귀염뽀짝 디저트 랜덤 키링 24개(박스) 홀더 가방 열쇠 고리 친구 단체 선물, 1세트, 6종 랜덤 24개","36,000원","27,000원","27,000원",,도착 보장,Y,,"1,350원",,https://www.coupang.com/vp/products/8904728474?itemId=26006083072&vendorItemId=92988116601&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=6&rank=6,
키링,5,"애니버니 랜덤 아크릴 키 링 36개(박스) 홀더 핸드폰 가방 열쇠 고리 친구 단체 선물, 1세트","36,000원","25,380원","25,380원",,도착 보장,Y,,"1,269원",,https://www.coupang.com/vp/products/8522456825?itemId=24673933066&vendorItemId=91684133988&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=7&rank=7,
키링,,"리빙준 체인 키링고리, 골드, 50개","25,000원",271원,271원,,도착 보장,N,,676원,,https://www.coupang.com/vp/products/7212284007?itemId=18255247017&vendorItemId=86637949687&sourceType=srp_product_ads&clickEventId=686f2940-bf80-11f0-b227-967e58c775c2&korePlacement=15&koreSubPlacement=9&clickEventId=686f2940-bf80-11f0-b227-967e58c775c2&korePlacement=15&koreSubPlacement=9,
키링,6,"프리미엄 자동차 키링 키홀더 스트랩 가방 키링, 그린, 1개","17,500원","9,900원","9,900원",,도착 보장,N,,480원,,https://www.coupang.com/vp/products/8821314389?itemId=25707943795&vendorItemId=92830576097&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=9&rank=9,
키링,,"다다랜드 복실 토끼 인형 키링, 혼합색상, 1개",,"3,250원","3,250원",,도착 보장,Y,,163원,,https://www.coupang.com/vp/products/7458612971?itemId=19435568996&vendorItemId=86624881568&sourceType=srp_product_ads&clickEventId=686f2940-bf80-11f0-ae6c-2f7fc60d3c19&korePlacement=15&koreSubPlacement=11&clickEventId=686f2940-bf80-11f0-ae6c-2f7fc60d3c19&korePlacement=15&koreSubPlacement=11,
키링,,"가운데손가락 스마일 귀여운키링 메탈 열쇠고리 캐릭터 키홀더 귀여운 자동차 키링 선물용 가운데손가락 스마일 키링 메탈 열쇠고리 귀여운 캐릭터 키홀더 자동차키링 커플키링 우정키링, 1개","13,000원","8,410원","8,410원",,도착 보장,N,,420원,,https://www.coupang.com/vp/products/7669923244?itemId=20457618675&vendorItemId=88382254416&sourceType=srp_product_ads&clickEventId=686f2940-bf80-11f0-b455-cc579605c23e&korePlacement=15&koreSubPlacement=12&clickEventId=686f2940-bf80-11f0-b455-cc579605c23e&korePlacement=15&koreSubPlacement=12,
키링,7,"생활양식 1+1 자동차 명품 가죽 키링 브라운, 2개","13,000원","4,400원","4,400원",,도착 예정,Y,,440원,,https://www.coupang.com/vp/products/1228382406?itemId=2220723945&vendorItemId=70218413472&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=12&rank=12,
키링,8,"iiGEN 몬스터 인형 키링, 7cm, 랜덤발송, 24개","48,000원","30,000원","30,000원",,도착 보장,Y,,"1,500원",,https://www.coupang.com/vp/products/8151341930?itemId=23198251859&vendorItemId=90409827183&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=13&rank=13,
키링,9,"패링치즈 귀여운 헬스 키링 열쇠고리, 1개, 헬스바이올렛","19,800원","9,900원","9,900원",,도착 보장,N,,495원,,https://www.coupang.com/vp/products/9021783720?itemId=26453206261&vendorItemId=93428620847&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=14&rank=14,
키링,10,산리오 정품 키티실버키링 실버키티 키티 키링 10cm,,"9,900원","9,900원",,도착 보장,N,,495원,,https://www.coupang.com/vp/products/9014454153?itemId=26426739400&vendorItemId=93421041579&q=키링&searchId=b22f0b5e2211486&sourceType=search&itemsCount=36&searchRank=15&rank=15,
