Name,Price,Link,Img_url
"차오차이 직화 수타식 짜장면 720g 2인분, 3개","23,940원",https://www.coupang.com/vp/products/9131584242?itemId=26877160552&vendorItemId=93846715982&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=22&rank=22,
"전통 중화 짜장면 5인분세트(면1kg+짜장소스5봉), 1세트","15,900원",https://www.coupang.com/vp/products/7790750807?itemId=16906828806&vendorItemId=84084930172&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=23&rank=23,
"팔도짜장면 203g, 32개",09원,https://www.coupang.com/vp/products/1587100?itemId=42835163&vendorItemId=3066694271&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=24&rank=24,
"팔도 짜장면, 28개","34,620원",https://www.coupang.com/vp/products/1587100?itemId=285687654&vendorItemId=91471507625&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=25&rank=25,
"트러플향이 들어간 수타식 천왕 짜장면 대용량 (1인분), 10팩","29,900원",https://www.coupang.com/vp/products/8989873882?itemId=26331780675&vendorItemId=93309028681&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=26&rank=26,
"풀무원 직화 볶음 짜장 2인분 512.8g, 1개","7,480원",https://www.coupang.com/vp/products/9016023554?itemId=26451745033&vendorItemId=93417706014&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=27&rank=27,
"팔도 짜장면_, 16개","19,900원",https://www.coupang.com/vp/products/1587100?itemId=21318519671&vendorItemId=88430302033&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=28&rank=28,
"풀무원 직화 짜장면 6인분 1980g, 1개","16,990원",https://www.coupang.com/vp/products/7030552578?itemId=2481262044&vendorItemId=92523923897&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=29&rank=29,
"하림 더미식 유니자장면, 1박스","22,980원",https://www.coupang.com/vp/products/8289288454?itemId=26523742228&vendorItemId=93875785630&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=30&rank=30,
"농심 짜파게티 140g, 5개","4,980원",https://www.coupang.com/vp/products/8821592139?itemId=13447261191&vendorItemId=3000100413&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=31&rank=31,
"차오차이 수타식 유니짜장면 720g 2인분, 3개","23,940원",https://www.coupang.com/vp/products/9131584243?itemId=26891198973&vendorItemId=93860692804&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=32&rank=32,
"온누리 짜장면 5인분 밀키트셋트 미니채단무지 2개 포함 온누리중화면250gX5봉+해스민짜장소스250gX5봉+그래도또또단무지150gX2개, 1세트","22,900원",https://www.coupang.com/vp/products/7072081860?itemId=17564997516&vendorItemId=84731777482&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=33&rank=33,
"팔도짜장면 203g, 4개","5,930원",https://www.coupang.com/vp/products/1587100?itemId=12257147&vendorItemId=3018671158&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=34&rank=34,
"더미식 유니자장면 297g, 4개","17,000원",https://www.coupang.com/vp/products/7145401079?itemId=18866094618&vendorItemId=83128702546&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=35&rank=35,
"면사랑 중화면 5개입 (냉동), 1.15kg, 2개","9,660원",https://www.coupang.com/vp/products/8554949194?itemId=24792634721&vendorItemId=91800463981&sourceType=srp_product_ads&clickEventId=e1cf5010-b659-11f0-813a-c8815912ee59&korePlacement=15&koreSubPlacement=37&clickEventId=e1cf5010-b659-11f0-813a-c8815912ee59&korePlacement=15&koreSubPlacement=37,
"The미식 유니자장면 297g, 6개","16,400원",https://www.coupang.com/vp/products/8289737645?itemId=24586741173&vendorItemId=92286225675&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=37&rank=37,
"집에서 즐기는 매콤짜장면 세트 (중화면+소스), 10개, 230g","24,900원",https://www.coupang.com/vp/products/8972153863?itemId=26260106143&vendorItemId=93238427565&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=38&rank=38,
"[전통] 중화 짜장면 10인분세트(면2kg+짜장소스10봉), 1세트","15,200원",https://www.coupang.com/vp/products/8201974489?itemId=17016346657&vendorItemId=92868233022&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=39&rank=39,
"대구 중화 짜장면 6인분/생중화면 1kg+짜장소스 6봉, 1세트","9,980원",https://www.coupang.com/vp/products/7953986127?itemId=21966008031&vendorItemId=89013723246&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=40&rank=40,
"짜짜로니 140g, 40개","34,240원",https://www.coupang.com/vp/products/7460485005?itemId=12270290880&vendorItemId=3066565962&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=41&rank=41,
"오뚜기 직화유니짜장 1.83kg(6인), 1.83kg, 1개","15,240원",https://www.coupang.com/vp/products/6507692779?itemId=18460322505&vendorItemId=91350506739&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=42&rank=42,
"짜장면 5인분 세트(짜장 우동면 5인분 + 짜장소스 5봉), 01.짜장우동 1봉(5인분)+짜장소스5봉","10,900원",https://www.coupang.com/vp/products/8515051245?itemId=24650481682&vendorItemId=91661093530&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=43&rank=43,
"농심 짜파게티 140g, 15개","13,440원",https://www.coupang.com/vp/products/8821592139?itemId=25720266254&vendorItemId=84993765406&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=44&rank=44,
"곰곰 직화짜장면 4인분, 1.32kg, 1개","8,480원",https://www.coupang.com/vp/products/7636967592?itemId=20281483059&vendorItemId=87368046876&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=45&rank=45,
"더미식 유니자장면 297g, 2개","8,700원",https://www.coupang.com/vp/products/7145401079?itemId=19903880179&vendorItemId=81524361728&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=46&rank=46,
"해아래 야채고기가득 정통 짜장면 5인분, 1개","19,800원",https://www.coupang.com/vp/products/9091779434?itemId=26719538137&vendorItemId=93691100047&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=47&rank=47,
"쉐프스토리 수타식 직화짜장면 (냉동), 330g, 4개","16,150원",https://www.coupang.com/vp/products/8969228060?itemId=26301408350&vendorItemId=93279149350&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=48&rank=48,
"집에서 즐기는 매콤짜장면 세트 (중화면+소스), 5개, 230g","18,900원",https://www.coupang.com/vp/products/8972153863?itemId=26260106144&vendorItemId=93238427579&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=49&rank=49,
"팔도 짜장면, 1개","4,500원",https://www.coupang.com/vp/products/1587100?itemId=18495444117&vendorItemId=88768548123&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=50&rank=50,
"짜짜로니 140g, 10개","8,560원",https://www.coupang.com/vp/products/7460485005?itemId=19444592514&vendorItemId=85068700772&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=51&rank=51,
"팔도 짜장면 짜장면, 1개, 812g","9,190원",https://www.coupang.com/vp/products/8267384254?itemId=24080371885&vendorItemId=91252115522&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=52&rank=52,
