Name,Price,Link,Img_url
"롯데웰푸드 월드콘 바닐라 아이스크림 (냉동), 160ml, 1개입, 24개","33,600원",https://www.coupang.com/vp/products/1999778317?itemId=953238658&vendorItemId=5348778030&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=19&rank=19,
"하겐다즈 멀티바 아이스크림 바닐라 캐러멜 아몬드 (냉동), 80ml, 3개입, 1개","17,900원",https://www.coupang.com/vp/products/191146197?itemId=546297003&vendorItemId=4432366450&sourceType=srp_product_ads&clickEventId=2433fc60-b6e8-11f0-a074-1693278b269f&korePlacement=15&koreSubPlacement=21&clickEventId=2433fc60-b6e8-11f0-a074-1693278b269f&korePlacement=15&koreSubPlacement=21,
"하겐다즈 멀티바 아이스크림 그린티 앤 아몬드 (냉동), 80ml, 3개입, 1개","17,900원",https://www.coupang.com/vp/products/191146079?itemId=546296362&vendorItemId=4432365541&sourceType=srp_product_ads&clickEventId=2433fc60-b6e8-11f0-90da-09cda4f6f686&korePlacement=15&koreSubPlacement=22&clickEventId=2433fc60-b6e8-11f0-90da-09cda4f6f686&korePlacement=15&koreSubPlacement=22,
"아이스크림30종 F세트 콘 바 쭈쭈바 샌드 하드, 30개, 80ml","26,800원",https://www.coupang.com/vp/products/8288910441?itemId=18237252909&vendorItemId=92076460956&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=22&rank=22,
"아이스크림 A세트, 1개, 80ml","26,800원",https://www.coupang.com/vp/products/7106784599?itemId=19871205135&vendorItemId=92076442698&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=23&rank=23,
"빙그레 메로나 (냉동), 75ml, 1개입, 40개","19,400원",https://www.coupang.com/vp/products/7368139930?itemId=18999872471&vendorItemId=86124887421&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=24&rank=24,
"빙그레 아이스크림 떡붕어싸만코, 24개","40,000원",https://www.coupang.com/vp/products/8714895618?itemId=24291712902&vendorItemId=91307892500&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=25&rank=25,
"빙그레 아이스크림 떡붕어싸만코, 150ml, 30개","48,000원",https://www.coupang.com/vp/products/7786501475?itemId=24439356476&vendorItemId=91453440013&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=26&rank=26,
"바 아이스크림 5종 상품 세트 구성 (죠스바 / 수박바 / 스크류바 / 옥동자 / 메가톤바), 40개, 75ml","31,900원",https://www.coupang.com/vp/products/8290003491?itemId=17760767594&vendorItemId=86127389169&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=27&rank=27,
"코스트코 맥키스 아이스크림 2L x 2 [아이스박스] + 사은품, 2개","33,590원",https://www.coupang.com/vp/products/2282308233?itemId=19005090000&vendorItemId=86129948053&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=28&rank=28,
"빙그레 아이스크림 바 40개 모음(쿠앤크 10개+엔초 10개+메로나 오리지널 10개+요맘때 바 복숭아맛 10개) 아이스크림, 70ml","23,400원",https://www.coupang.com/vp/products/6544313112?itemId=14583810675&vendorItemId=81878613463&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=29&rank=29,
"빙그레 아이스크림 빵소프트20 떡붕어10 호두붕어10, 40개, 165ml","50,000원",https://www.coupang.com/vp/products/283421208?itemId=19955529589&vendorItemId=90679706050&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=30&rank=30,
"빙그레 더엑설런트 오리지널 아이스크림, 800ml, 4개","40,000원",https://www.coupang.com/vp/products/1848668318?itemId=16470293624&vendorItemId=92796375446&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=31&rank=31,
