Keyword,Rank,Name,OriginalPrice,DiscountPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,22,70X70 여성 봄 가을 쁘띠 스카프,"5,980원","2,500원","2,500원",,도착 예정,Y,,108원,,https://www.coupang.com/vp/products/8022154678?itemId=22417264530&vendorItemId=89462031851&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=22&rank=22,
스카프,23,마리앙 마름모 스카프 가을스카프 롱스카프 여성스카프 뜨왈 플라워 배색 간절기 스카프,"26,000원","23,800원","23,800원",판매자배송,도착 보장,Y,,"1,190원",,https://www.coupang.com/vp/products/9103806387?itemId=26764478427&vendorItemId=93810578662&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=23&rank=23,
스카프,24,허블리 여성 부드러운 사각 스카프 머플러 4종세트,"30,000원","12,900원","12,900원",판매자배송,도착 보장,N,,645원,,https://www.coupang.com/vp/products/9066483209?itemId=26624956505&vendorItemId=93603392173&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=24&rank=24,
스카프,25,아펙토 우아한 자석 버클 스카프 2종 세트,"7,900원","4,900원","4,900원",로켓배송,도착 보장,Y,,245원,,https://www.coupang.com/vp/products/8837460296?itemId=25754169332&vendorItemId=92742417349&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=25&rank=25,
스카프,26,온더레드 러블리 레이어드 롱스카프,"32,000원","8,890원","8,890원",판매자배송,도착 보장,N,,445원,,https://www.coupang.com/vp/products/8437333354?itemId=24403111462&vendorItemId=91418006264&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=26&rank=26,
스카프,27,엘르온 여성 고급 패션 사각스카프 2종세트 스카프링 포함,"25,000원","9,900원","9,900원",판매자배송,도착 보장,N,,495원,,https://www.coupang.com/vp/products/8283240035?itemId=23882296111&vendorItemId=90905155235&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=27&rank=27,
스카프,28,소울린느 쁘띠사이즈 실크소재 스카프 (33종류),"19,900원","7,900원","7,900원",판매자배송,도착 보장,N,,395원,,https://www.coupang.com/vp/products/7970137501?itemId=22070793759&vendorItemId=89118138736&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=28&rank=28,
스카프,29,쿠앤 여성 70cm 스카프 정사각 여성스카프 4종 세트,"40,000원","15,900원","15,900원",판매자배송,도착 보장,N,,795원,,https://www.coupang.com/vp/products/7871856275?itemId=21506454980&vendorItemId=88579179945&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=29&rank=29,
스카프,30,어반유니크 여성 데일리 고급 스카프 4종 세트,"34,000원","16,900원","16,900원",판매자배송,도착 보장,N,,845원,,https://www.coupang.com/vp/products/8309479717?itemId=23976277945&vendorItemId=90997549371&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=30&rank=30,
스카프,31,더뷰렛 소프트 롱스카프 여성 무지 단색 면 코튼 간절기 스카프,"15,000원","11,500원","11,500원",,도착 예정,Y,,575원,,https://www.coupang.com/vp/products/312474379?itemId=987283328&vendorItemId=5410258372&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=31&rank=31,
