Keyword,Rank,Name,OriginalPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
장우산,17,솔리드 장우산 NL2,,"6,140원",로켓배송,내일(목) 도착 보장,Y,280,307원,,https://www.coupang.com/vp/products/8682015440?itemId=25203142620&vendorItemId=92219145863&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=17&rank=17,
장우산,18,장마 안전 여아 유치원 POE우산-블루 아동키즈 아동우산 어린이 60 남아 자외선차단 키즈 앞보이는 투명 어린이 반사,,"3,000원",,11/15(토) 도착 예정,N,,705원,,https://www.coupang.com/vp/products/9168412559?itemId=27017022807&vendorItemId=93985648616&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=18&rank=18,
장우산,,카르페디엠 파스텔 16살대 곡자 장우산 062,"25,400원","10,900원",로켓배송,내일(목) 도착 보장,Y,453,545원,,https://www.coupang.com/vp/products/7937576909?itemId=21852065162&vendorItemId=88900314568&sourceType=srp_product_ads&clickEventId=054937d0-bfac-11f0-9f17-b2a60b5f9ed3&korePlacement=15&koreSubPlacement=20&clickEventId=054937d0-bfac-11f0-9f17-b2a60b5f9ed3&korePlacement=15&koreSubPlacement=20,
장우산,,미치코런던 모던 솔리드 자동 장우산,"19,800원","9,550원",로켓배송,내일(목) 도착 보장,Y,7455,478원,,https://www.coupang.com/vp/products/8750707137?itemId=205424726&vendorItemId=3487285461&sourceType=srp_product_ads&clickEventId=054937d0-bfac-11f0-b11a-37c96b80a193&korePlacement=15&koreSubPlacement=21&clickEventId=054937d0-bfac-11f0-b11a-37c96b80a193&korePlacement=15&koreSubPlacement=21,
장우산,21,코멧 베이직 자동 장우산,"11,990원","8,690원",로켓배송,내일(목) 도착 보장,Y,3181,435원,,https://www.coupang.com/vp/products/6304672048?itemId=13055147860&vendorItemId=80317852677&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=21&rank=21,
장우산,,일상가 24K 강풍 태풍 바람에강한 튼튼한 고급형 자동 대형 장우산,"80,000원","21,850원",판매자로켓,내일(목) 도착 보장,Y,418,"1,093원",,https://www.coupang.com/vp/products/8582026511?itemId=24875934245&vendorItemId=91882776824&sourceType=srp_product_ads&clickEventId=054937d0-bfac-11f0-bf53-c21c6c9eb107&korePlacement=15&koreSubPlacement=23&clickEventId=054937d0-bfac-11f0-bf53-c21c6c9eb107&korePlacement=15&koreSubPlacement=23,
장우산,23,크로커다일 의전 골프 튼튼한 대형 장우산,"25,900원","14,900원",판매자로켓,내일(목) 도착 보장,N,139,745원,,https://www.coupang.com/vp/products/8773662891?itemId=25522385086&vendorItemId=92469249348&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=23&rank=23,
장우산,24,크로커다일 베이직 장우산 3개 세트,"44,700원","19,980원",판매자로켓,내일(목) 도착 보장,Y,11,999원,,https://www.coupang.com/vp/products/8868870366?itemId=25871333564&vendorItemId=92857481735&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=24&rank=24,
장우산,25,"온빛 프리미엄 24K 대형 튼튼한 강풍 장우산 Glass Fiber 우산대, 남색(네이비), 1개","19,000원","17,490원",판매자로켓,내일(목) 도착 보장,N,769,875원,,https://www.coupang.com/vp/products/8324663311?itemId=24030534980&vendorItemId=91050946629&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=25&rank=25,
장우산,26,장마 소나기 끄떡없는우산 안전 엄브렐라 판촉용 사은품용 ori+963ZT,,"11,140원",,11/15(토) 도착 예정,Y,,557원,,https://www.coupang.com/vp/products/9163877478?itemId=26998121892&vendorItemId=93966843996&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=26&rank=26,
